ID,MNAIS,AGEXACTM,DEPDOM,AGEXACTP,count
1866,3,24,99,35,1
1868,5,38,99,40,5
1869,5,39,99,42,5
1873,5,23,99,27,2
1874,5,20,99,25,3
1879,9,18,99,22,2
1885,1,18,99,23,3
1886,1,17,99,22,1
1887,2,21,99,26,1
1888,3,19,99,24,3
1889,3,21,99,27,2
1890,4,21,99,27,2
1894,6,20,99,44,1
1896,7,20,99,24,2
1898,7,18,99,22,2
1900,8,20,99,24,2
1901,9,42,99,44,5
1902,9,24,99,29,3
1906,11,17,99,23,2
1907,11,20,99,25,3
1908,12,17,99,21,2
1909,12,26,99,44,1
1914,4,24,99,44,1
1916,4,38,99,44,5
1925,10,23,99,37,2
1938,3,25,99,23,2
1941,5,37,99,30,1
1947,5,19,99,32,1
1948,2,18,99,20,1
1964,4,25,1,36,5
1996,3,20,1,29,5
2009,5,24,1,35,5
2029,6,27,1,40,3
2035,7,29,1,43,4
2044,8,19,1,26,5
2052,9,32,1,41,4
2055,10,29,1,41,5
2057,10,20,1,29,5
2058,10,27,1,43,3
2061,10,31,1,25,1
2067,11,28,1,24,4
2084,2,19,1,26,5
2087,4,44,1,38,2
2109,9,26,1,37,4
2110,10,37,1,31,4
2140,8,20,1,29,5
2148,11,18,1,23,5
2150,10,19,1,20,4
2195,12,31,1,23,2
2212,7,30,1,44,2
2232,9,43,1,42,3
2241,3,24,1,35,5
2254,5,46,1,46,4
2277,2,37,1,28,1
2283,5,30,1,45,2
2285,1,19,1,21,3
2301,10,22,1,31,4
2302,3,32,1,21,1
2359,3,39,1,45,4
2375,3,36,1,26,1
2402,10,22,1,42,1
2406,1,25,1,36,5
2420,5,23,1,39,1
2432,3,39,1,40,5
2435,12,20,1,20,3
2436,12,26,1,38,4
2457,7,18,1,20,4
2462,10,31,1,43,4
2485,1,20,1,34,1
2490,4,40,1,36,4
2508,2,40,1,36,4
2512,6,34,1,27,2
2528,9,39,1,27,1
2531,12,39,1,40,5
2534,11,40,1,31,2
2548,2,24,1,43,2
2564,2,38,1,24,1
2582,1,23,1,35,3
2592,5,20,1,20,3
2601,7,43,1,44,4
2604,8,20,1,30,4
2608,9,41,1,41,5
2629,5,28,1,39,5
2638,2,42,1,44,3
2640,2,29,1,41,5
2660,7,31,1,41,5
2662,7,20,1,32,4
2674,9,44,1,46,5
2682,11,41,1,32,1
2688,12,26,1,46,3
2714,2,24,1,42,4
2719,2,41,1,24,1
2722,2,28,1,24,4
2723,2,36,1,24,1
2736,6,25,1,22,4
2741,6,26,1,38,4
2747,8,42,1,43,3
2753,9,22,1,37,1
2755,9,43,1,46,5
2761,10,40,1,31,2
2776,12,21,1,32,3
2783,2,17,1,21,1
2784,6,34,1,44,5
2795,7,39,1,35,4
2841,3,25,1,22,4
2858,6,26,1,37,4
2880,7,25,1,23,3
2934,6,17,1,17,1
2948,1,20,1,27,4
2955,1,23,1,21,4
2973,1,23,1,21,4
2974,6,42,1,41,2
2978,9,33,1,42,4
2996,1,24,1,20,1
3008,1,20,1,33,1
3009,1,21,1,30,3
3013,1,20,1,18,1
3024,2,38,1,45,3
3029,2,23,1,35,3
3031,2,19,1,20,4
3033,2,28,1,42,4
3035,2,20,1,31,1
3046,2,32,1,41,4
3048,2,29,1,42,5
3064,3,20,1,19,4
3080,3,27,1,40,3
3090,4,28,1,42,4
3099,4,26,1,39,1
3103,4,26,1,45,2
3113,5,19,1,33,2
3117,4,19,1,29,2
3125,5,18,1,24,1
3129,5,43,1,44,4
3133,5,25,1,42,1
3139,5,25,1,37,2
3142,5,21,1,30,3
3143,6,20,1,27,4
3145,5,18,1,22,2
3158,6,27,1,23,3
3168,6,40,1,43,5
3169,6,31,1,26,3
3171,7,34,1,27,2
3193,6,29,1,39,5
3206,7,25,1,40,3
3226,8,25,1,36,5
3248,9,43,1,42,3
3257,9,34,1,45,2
3263,9,26,1,36,5
3277,9,17,1,20,1
3286,10,33,1,45,5
3288,10,33,1,45,5
3294,10,41,1,30,1
3297,11,43,1,46,5
3301,10,25,1,36,5
3302,11,17,1,41,1
3306,11,35,1,45,2
3309,11,18,1,20,4
3319,11,33,1,28,4
3325,11,18,1,20,4
3327,11,18,1,19,2
3340,12,21,1,19,1
3341,12,20,1,29,5
3348,12,41,1,41,5
3363,2,17,1,22,3
3366,2,37,1,30,4
3374,4,17,1,27,1
3377,4,23,1,19,1
3378,4,27,1,43,3
3386,5,22,1,34,2
3391,7,25,1,39,4
3393,7,43,1,44,4
3396,7,18,1,26,1
3411,9,19,1,27,1
3427,11,32,1,26,3
3429,11,44,1,38,2
3433,12,25,1,23,3
3475,8,23,1,43,2
3491,8,37,1,31,4
3493,10,23,1,21,4
3517,2,18,1,23,5
3552,9,25,1,35,5
3553,9,25,1,35,5
3566,4,39,1,33,5
3568,7,25,1,23,3
3571,9,42,1,40,5
3576,12,31,1,26,3
3584,1,44,1,35,1
3585,5,36,1,30,2
3631,2,27,1,42,3
3635,5,39,1,30,3
3636,6,41,1,36,3
3648,9,43,1,39,1
3651,11,30,1,45,2
3661,2,36,1,30,2
3665,9,33,1,28,4
3675,1,46,1,46,4
3677,4,36,1,28,2
3685,11,30,1,41,4
3719,6,19,1,20,4
3739,6,34,1,28,2
3749,10,41,1,35,3
3776,11,33,1,27,2
3805,1,18,1,19,2
3836,6,38,1,30,2
3847,11,22,1,31,4
3856,6,25,1,41,3
3866,9,30,1,41,4
3867,9,45,1,39,1
3875,3,40,1,28,2
3884,9,22,1,30,5
3906,6,37,1,26,2
3932,12,21,1,32,3
3938,9,33,1,42,4
3939,2,32,1,41,4
3949,2,35,1,29,2
3988,8,23,1,37,3
4001,3,22,1,32,3
4002,4,41,1,45,5
4060,9,43,1,38,3
4079,7,39,1,35,4
4084,1,29,1,22,1
4086,3,39,1,31,2
4097,6,39,1,26,2
4098,6,39,1,26,2
4105,2,27,1,23,3
4106,5,31,1,24,2
4110,1,42,1,40,5
4111,1,42,1,40,5
4144,1,29,1,24,3
4153,9,24,1,22,3
4169,10,32,1,24,3
4191,5,35,1,30,4
4200,7,28,1,41,1
4209,2,42,1,36,1
4218,3,29,1,23,4
4226,3,40,1,35,3
4227,3,40,1,35,3
4231,6,27,1,42,3
4238,4,28,1,24,4
4256,2,32,1,42,3
4277,8,43,1,46,5
4284,10,24,1,35,5
4294,6,22,1,38,3
4301,7,39,1,40,5
4302,7,39,1,40,5
4305,9,41,1,44,4
4346,8,41,1,44,4
4386,1,21,1,30,3
4392,2,25,1,39,4
4398,3,33,1,43,4
4400,6,31,1,41,5
4401,9,20,1,19,4
4402,9,20,1,19,4
4405,2,32,1,41,4
4421,12,44,1,44,4
4433,7,32,1,45,1
4440,6,34,1,45,2
4456,12,43,1,38,3
4467,3,33,1,45,5
4477,8,22,1,31,4
4497,10,24,1,40,2
4498,10,33,1,44,3
4521,6,40,1,36,4
4530,11,40,1,43,5
4533,11,36,1,27,2
4551,4,43,1,38,3
4569,11,24,1,19,2
4570,1,32,1,26,3
4577,10,44,1,41,2
4580,6,42,1,42,1
4621,8,29,1,43,4
4633,11,41,1,45,5
4637,9,28,1,21,2
4648,7,25,1,38,2
4649,7,31,1,24,2
4663,3,26,1,42,2
4682,11,26,1,21,2
4689,6,40,1,43,5
4691,1,33,1,28,4
4699,9,25,1,41,3
4700,9,25,1,41,3
4713,9,23,1,40,1
4718,3,22,1,35,1
4729,1,30,1,41,4
4736,3,24,1,42,4
4737,3,24,1,42,4
4746,6,26,1,36,5
4759,4,20,1,32,4
4765,12,38,1,31,2
4787,11,41,1,31,1
4805,11,33,1,26,2
4836,12,40,1,38,3
4839,4,23,1,37,3
4840,4,23,1,37,3
4854,5,29,1,39,5
4863,10,39,1,33,5
4866,7,34,1,23,2
4878,4,32,1,42,3
4913,10,41,1,28,1
